handle,in_header,in_footer
2core-round,True,False
2core-twisted,True,False
3core-round,True,False
3core-twisted,True,False
accessories,True,False
all-transformers,True,False
b22-base-bulb,True,False
ceiling-lights-for-flash-lights,True,False
ceiling-rose-brackets,True,False
ceiling-roses,False,True
chandelier,True,False
conduit-accessories,True,False
conduit-lamp-holder,True,False
conduit-lighting,True,False
conduit-lightings,True,False
constant-current-transformer,True,False
constant-voltage-transformer,True,False
cord-grip-and-hanging-chains,True,False
dc-12v-transformer,True,False
dc-24v-transformer,True,False
dc-5v-transformer,True,False
dimmable-led-bulbs,True,False
diy-lighting-new,True,False
e14-base-bulb,True,False
e27-base-bulb,True,False
easy-fit-shades,True,False
electrician-essential-products-uk,True,False
energy-saving-led-light-bulbs,True,False
hemp-collection,True,False
holder,False,True
hooks-and-rings,True,False
incandescent-bulbs,True,False
indoor-lighting,True,False
ip20-led-power-supplies-1,True,False
ip45-rainproof-led-drivers,True,False
ip67-waterproof-led-drivers,True,False
kitchen-lighting,True,False
lampshades,False,True
latest-pendent-shade,True,False
led-bulbs,True,False
led-modules,True,False
led-panels,True,False
led-transformers,True,True
lighting-trends-2026,True,False
living-or-dining-room-lighting,True,False
metal-holders,True,False
modern-lighting,True,False
multi-outlet-lighting,True,False
neon-flex,True,False
non-dimmable-led-bulbs,True,False
outdoor-wall-lights,True,False
pendant-holder,True,False
pendant-lights,True,True
pipe-lighting,True,True
pipe-lighting-accessories,True,False
plugin-lighting,True,False
single-outlet-ceiling-rose,True,False
slim-transfomers,True,False
spider-light,True,False
stylish-bedroom-lights-uk,True,False
switch-with-accessories,True,False
switches,False,True
switches-and-sockets,True,False
table-lamps,True,False
vintage-bulbs,False,True
vintage-cables,False,True
vintage-lighting,True,False
wall-light,True,False
wire-cage,True,False
wire-connectors-junction-box,True,False
